stopID,trip,count,blanks
1892,350907,1,
1892,350608,1,
1892,350412,1,
2371,350604,1,
2371,350907,1,
2371,350608,1,
2371,350213,2,
2371,350412,1,
2371,350215,1,
2440,350903,1,
2515,350205,1,
2515,350404,1,
2515,350213,2,
2519,350205,1,
2519,350404,2,
2519,350209,1,
2519,350408,2,
2519,350907,1,
2559,350604,1,
2559,350209,1,
2559,350408,2,
2559,350907,1,
2559,350412,1,
2624,350604,1,
2624,350705,1,
2624,350608,5,
2624,350709,1,
2624,350213,1,
2624,350215,3,
2633,350709,1,
2667,350205,2,
2667,350404,3,
2667,350903,3,
2667,350705,4,
2667,350209,3,
2667,350907,1,
2667,350608,6,
2667,350213,1,
2667,350215,1,
2702,350102,10,
2702,350205,2,
2702,350604,1,
2702,350408,5,
2702,350907,3,
2702,350709,4,
2702,350213,3,
2702,350412,6,
2702,350215,6,
1472,350209,1,
1529,350209,1,
1529,350907,1,
1529, ,1,
1531,350209,40,
1531,350408,3,
1531,350907,5,
1531,350608,2,
1544,350205,1,
1544,350903,1,
1544,350209,1,
1544,350608,1,
1557,350907,1,
1559,350404,1,
1560,350404,1,
1570,350404,1,
1570,350907,1,
1649,350209,1,
1651,350412,1,
1652,350102,1,
1652,350907,1,
1652,350213,1,
1664,350102,4,
1664,350801,2,
1664,350205,2,
1664,350903,1,
1664,350209,1,
1664,350907,1,
1664,350215,1,
1666,350801,1,
1666,350903,1,
1666,350209,1,
1666,350408,1,
1666,350404,1,
1678,350903,1,
1713,350209,1,
1713,350408,3,
1713,350213,2,
1734,350801,1,
1739,350209,1,
1741,350801,1,
1743,350705,2,
1892,350903,1,
1892,350709,2,
2288,350705,1,
2371,350903,1,
2371,350705,1,
2371,350408,2,
2371,350907,1,
2371,350608,2,
2371,350709,3,
2371,350213,1,
2440, ,1,
2515,350209,2,
2515,350608,3,
2515,350215,1,
2519,350102,1,
2519,350404,2,
2519,350408,1,
2519,350907,2,
2559,350209,2,
2559,350907,2,
2559,350608,2,
2624,350205,1,
2624,350404,1,
2624,350903,1,
2624,350705,1,
2624,350907,1,
2624,350412,1,
2633,350608,1,
2667,350404,5,
2667,350209,3,
2667,350408,7,
2667,350608,5,
2702,350102,4,
2702,350205,3,
2702,350705,3,
2702,350907,4,
2702,350709,4,
2702,350404,8,
2702,350215,3,
1529,350907,1,
1531,350903,1,
1531,350705,1,
1544,350709,1,
1544,350215,1,
1555,350907,2,
1557,350215,1,
1565,350102,1,
1565,350801,1,
1652,350102,1,
1652,350705,1,
1652,350907,1,
1652,350709,1,
1652,350215,1,
1664,350102,5,
1664,350801,1,
1664,350404,1,
1664,350903,3,
1664,350705,4,
1664,350213,3,
1666,350801,1,
1666,350408,1,
1678,350801,1,
1713,350801,1,
1713,350903,3,
1713,350408,1,
1713,350215,1,
1731,350408,1,
1734,350209,1,
1734,350907,10,
1734,350213,2,
1743,350801,1,
1743,350709,1,
1892,350705,1,
2371,350903,1,
2371,350705,1,
2371,350907,2,
2371,350215,3,
2440,350801,1,
2515,350907,2,
2515,350215,2,
2519,350209,1,
2519,350709,3,
2559,350801,1,
2559,350903,1,
2624,350903,1,
2624,350209,2,
2624,350408,1,
2624,350907,1,
2633,350102,1,
2667,350404,2,
2667,350705,1,
2667,350209,2,
2667,350408,4,
2667,350213,2,
2667,350215,1,
2702,350102,13,
2702,350205,2,
2702,350213,6,
2702,350215,1,
1463,350705,1,
1529,350213,1,
1531,350705,2,
1531,350907,2,
1531,350608,1,
1531,350709,1,
1533,350604,1,
1535,350907,1,
1544,350209,1,
1557,350209,1,
1564, ,2,
1565,350102,2,
1570,350209,1,
1652,350102,1,
1652, ,2,
1652,350709,1,
1664,350102,2,
1664,350205,1,
1664,350903,1,
1664,350705,1,
1664,350209,1,
1664,350709,1,
1664,350215,4,
1666,350801,1,
1666,350903,2,
1666,350907,1,
1713,350801,1,
1713,350903,1,
1713,350209,1,
1733,350205,1,
1733, ,2,
1734, ,1,
1734,350213,1,
1741, ,1,
1743,350709,1,
1892,350604,1,
1892,350215,1,
2371,350604,1,
2371,350709,1,
2371,350213,3,
2440,350205,1,
2515,350801,1,
2515,350907,1,
2515,350608,1,
2515,350709,1,
2515,350213,2,
2515,350215,1,
2519, ,5,
2519,350608,2,
2519,350213,1,
2519,350215,1,
2559,350801,1,
2559,350209,1,
2559,350215,2,
2624,350209,2,
2624,350907,1,
2624,350213,3,
2624,350215,1,
2667,350903,6,
2667,350604,1,
2667,350209,3,
2667,350608,1,
2667,350213,5,
2667,350215,1,
2702,350102,9,
2702,350205,4,
2702,350705,1,
2702,350907,4,
2702,350608,10,
2702,350709,4,
2702,350215,1,
1529,350907,2,
1531,350404,1,
1531,350705,4,
1531,350608,1,
1535,350404,2,
1535,350705,2,
1544,350213,1,
1555,350709,2,
1557,350709,2,
1559,350608,1,
1565,350102,1,
1565,350205,1,
1570,350412,1,
1652,350102,1,
1652,350709,1,
1664,350102,3,
1664,350903,1,
1664,350705,1,
1664,350907,2,
1664,350608,1,
1664,350709,1,
1666,350801,2,
1666,350209,3,
1666,350907,1,
1666,350215,2,
1678,350801,2,
1713,350705,1,
1713,350907,1,
