stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,is_trans_ctr,at_trans_ctr,direction
1692R,1692,Portola Dr & 37th Ave,,36.963535,-121.968834,http://scmtd.com/stop/1692,0,0,2
1693R,1693,Portola Dr & 37th Ave,,36.963318,-121.968773,http://scmtd.com/stop/1693,0,0,1
1703R,1703,Rio Del Mar Blvd & Kingsbury Dr,,36.968151,-121.901215,http://scmtd.com/stop/1703,0,0,1
1705R,1705,Rio Del Mar Blvd & Highland Dr,,36.96909,-121.899513,http://scmtd.com/stop/1705,0,0,1
1707R,1707,Rio Del Mar Blvd & Martin Dr,,36.970234,-121.898155,http://scmtd.com/stop/1707,0,0,1
1708R,1708,Rio Del Mar Blvd & Sumner Ave,,36.97105,-121.896011,http://scmtd.com/stop/1708,0,0,1
1710R,1710,Rio Del Mar Blvd & Palmer Ave,,36.971233,-121.891838,http://scmtd.com/stop/1710,0,0,1
1712R,1712,Rio Del Mar Blvd & Clubhouse Dr,,36.973217,-121.888908,http://scmtd.com/stop/1712,0,0,1
1713R,1713,River (River/Front Garage),,36.976425,-122.025192,http://scmtd.com/stop/1713,0,0,1
1714R,1714,River & N Pacific Ave,,36.97921,-122.027489,http://scmtd.com/stop/1714,0,0,1
1715R,1715,River & Josephine,,36.981705,-122.02919,http://scmtd.com/stop/1715,0,0,1
1717R,1717,River & Golf Club Dr (City Corp. Yard),,36.988747,-122.030769,http://scmtd.com/stop/1717,0,0,2
1731R,1731,Scotts Valley Dr & Bean Creek Rd (Middle School),,37.044632,-122.023293,http://scmtd.com/stop/1731,0,0,1
1733R,1733,Scotts Valley Dr & Blake Lane,,37.045773,-122.021118,http://scmtd.com/stop/1733,0,0,1
1734R,1734,Scotts Valley Dr & Civic Center Dr,,37.048088,-122.017265,http://scmtd.com/stop/1734,0,0,1
1735R,1735,Scotts Valley Dr & Disc Dr,,37.048546,-122.016434,http://scmtd.com/stop/1735,0,0,1
1738R,1738,Scotts Valley Dr & Dunslee Way,,37.052338,-122.013596,http://scmtd.com/stop/1738,0,0,1
1739R,1739,Scotts Valley Dr & Dunslee Way,,37.052372,-122.013931,http://scmtd.com/stop/1739,0,0,1
1740R,1740,Scotts Valley Dr & Frapwell Cir,,37.055168,-122.012421,http://scmtd.com/stop/1740,0,0,1
1741R,1741,Scotts Valley Dr & Victor Square,,37.058823,-122.010323,http://scmtd.com/stop/1741,0,0,1
1742R,1742,Scotts Valley Dr & Willis Rd,,37.057503,-122.010796,http://scmtd.com/stop/1742,0,0,1
1743R,1743,Scotts Valley Dr (#5437 Executive Center),,37.06012,-122.009262,http://scmtd.com/stop/1743,0,0,1
1744R,1744,Scotts Valley Dr & Victor Square,,37.059498,-122.009407,http://scmtd.com/stop/1744,0,0,1
1745R,1745,Scotts Valley Dr & Granite Creek Rd,,37.06155,-122.007301,http://scmtd.com/stop/1745,0,0,1
1748R,1748,Scotts Valley Dr & Terrace View Dr,,37.046673,-122.019424,http://scmtd.com/stop/1748,0,0,1
1749R,1749,Scotts Valley Dr & Oak Creek Blvd,,37.046619,-122.018944,http://scmtd.com/stop/1749,0,0,1
1750R,1750,Seabright Ave & Murray,,36.967537,-122.007759,http://scmtd.com/stop/1750,0,0,2
1751R,1751,Seabright Ave & Logan,,36.968437,-122.008018,http://scmtd.com/stop/1751,0,0,1
1752R,1752,Seabright Ave & Hall,,36.968861,-122.007881,http://scmtd.com/stop/1752,0,0,2
1754R,1754,Seabright Ave & Clinton,,36.9715,-122.00798,http://scmtd.com/stop/1754,0,0,2
1755R,1755,Seabright Ave & Clinton,,36.971386,-122.008125,http://scmtd.com/stop/1755,0,0,1
1756R,1756,Seabright Ave & Windham,,36.973316,-122.008095,http://scmtd.com/stop/1756,0,0,1
1757R,1757,Seabright Ave & Windsor,,36.974281,-122.00808,http://scmtd.com/stop/1757,0,0,2
1758R,1758,Seabright Ave & Windsor,,36.974442,-122.008301,http://scmtd.com/stop/1758,0,0,1
1775R,1775,Seascape Blvd & Vineyard Ct,,36.952278,-121.873009,http://scmtd.com/stop/1775,0,0,1
1777R,1777,Seascape Blvd & Dolphin Dr,,36.951683,-121.869675,http://scmtd.com/stop/1777,0,0,1
1781R,1781,Soquel Ave & Riverside Ave,,36.973946,-122.020645,http://scmtd.com/stop/1781,0,0,1
1782R,1782,Soquel Ave & Ocean,,36.974438,-122.019623,http://scmtd.com/stop/1782,0,0,2
1783R,1783,Soquel Ave & Ocean,,36.974598,-122.018517,http://scmtd.com/stop/1783,0,0,1
1784R,1784,Soquel Ave & Ocean View Dr (Branciforte Plaza),,36.976292,-122.017044,http://scmtd.com/stop/1784,0,0,2
1788R,1788,Soquel Ave & Pine,,36.977913,-122.014389,http://scmtd.com/stop/1788,0,0,2
1790R,1790,Soquel Ave & Benito Ave,,36.979103,-122.012108,http://scmtd.com/stop/1790,0,0,2
1791R,1791,Soquel Ave & Cayuga,,36.978886,-122.012062,http://scmtd.com/stop/1791,0,0,1
1792R,1792,Soquel Ave & Seabright Ave,,36.979675,-122.01107,http://scmtd.com/stop/1792,0,0,2
1793R,1793,Soquel Ave & Seabright Ave,,36.98008,-122.00975,http://scmtd.com/stop/1793,0,0,1
1794R,1794,Soquel Ave & Poplar Ave,,36.980846,-122.008446,http://scmtd.com/stop/1794,0,0,2
1795R,1795,Soquel Ave & Frederick,,36.981407,-122.00415,http://scmtd.com/stop/1795,0,0,1
1796R,1796,Soquel Ave & San Juan Ave,,36.981586,-122.003937,http://scmtd.com/stop/1796,0,0,2
1797R,1797,Soquel Ave & Hagemann Ave,,36.981316,-122.00206,http://scmtd.com/stop/1797,0,0,1
1798R,1798,Soquel Ave & Trevethan Ave,,36.981537,-122.001526,http://scmtd.com/stop/1798,0,0,2
1799R,1799,Soquel Ave & Park Way,,36.981796,-121.998512,http://scmtd.com/stop/1799,0,0,2
1800R,1800,Soquel Ave & Park Way,,36.981575,-121.998894,http://scmtd.com/stop/1800,0,0,1
1801R,1801,Soquel Ave & La Fonda Ave,,36.983223,-121.995224,http://scmtd.com/stop/1801,0,0,2
1802R,1802,Soquel Ave & La Fonda Ave,,36.982986,-121.995026,http://scmtd.com/stop/1802,0,0,1
1803R,1803,Soquel Ave & 7th Ave,,36.985233,-121.990616,http://scmtd.com/stop/1803,0,0,2
1804R,1804,Soquel Ave & 7th Ave,,36.985344,-121.989456,http://scmtd.com/stop/1804,0,0,1
1805R,1805,Soquel Dr (Dominican Hospital),,36.988644,-121.983345,http://scmtd.com/stop/1805,0,0,2
1806R,1806,Soquel Dr (Dominican Hospital),,36.988667,-121.982544,http://scmtd.com/stop/1806,0,0,1
1807R,1807,Soquel Dr & Mission Dr,,36.989185,-121.98101,http://scmtd.com/stop/1807,0,0,2
1808R,1808,Soquel Dr & Mission Dr,,36.988941,-121.980423,http://scmtd.com/stop/1808,0,0,1
1809R,1809,Soquel Dr & Thurber Ln,,36.988811,-121.978905,http://scmtd.com/stop/1809,0,0,2
1810R,1810,Soquel Dr & Winkle Ave,,36.988235,-121.974579,http://scmtd.com/stop/1810,0,0,2
1811R,1811,Soquel Dr & Winkle Ave,,36.988003,-121.974335,http://scmtd.com/stop/1811,0,0,1
1813R,1813,Soquel Dr & Dover Dr,,36.987942,-121.971016,http://scmtd.com/stop/1813,0,0,2
1814R,1814,Soquel Dr & Rodeo Gulch Rd,,36.987434,-121.968498,http://scmtd.com/stop/1814,0,0,2
1817R,1817,Soquel Dr & 41st Ave,,36.987656,-121.963936,http://scmtd.com/stop/1817,0,0,2
1818R,1818,Soquel Dr & 41st Ave,,36.987473,-121.964043,http://scmtd.com/stop/1818,0,0,1
1820R,1820,Soquel Dr & Daubenbiss Ave,,36.98764,-121.958481,http://scmtd.com/stop/1820,0,0,1
1821R,1821,Soquel Dr & Daubenbiss Ave,,36.987831,-121.958763,http://scmtd.com/stop/1821,0,0,2
1822R,1822,Soquel Dr & Main,,36.98893,-121.954857,http://scmtd.com/stop/1822,0,0,2
1823R,1823,Soquel Dr & Main,,36.988735,-121.954994,http://scmtd.com/stop/1823,0,0,1
